month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,source_file,source_row_number,month_date,failure_reason,remaining_lease_years,remaining_lease_months,remaining_lease_recomputed,remaining_lease_as_of_date
2012-08,SEMBAWANG,4 ROOM,302,CANBERRA RD,07 TO 09,91.0,Model A2,1998,,415000.0,"Resale Flat Prices (Based on Registration Date), From Mar 2012 to Dec 2014.csv",12346,2012-08-01,DUPLICATE_LOWER_PRICE,70,6,70 years 06 months,2026-07-18
2012-08,SEMBAWANG,4 ROOM,404,ADMIRALTY LINK,13 TO 15,90.0,Model A,2001,,413000.0,"Resale Flat Prices (Based on Registration Date), From Mar 2012 to Dec 2014.csv",12343,2012-08-01,DUPLICATE_LOWER_PRICE,73,6,73 years 06 months,2026-07-18
2012-08,SEMBAWANG,EXECUTIVE,503A,CANBERRA LINK,07 TO 09,130.0,Apartment,2001,,560000.0,"Resale Flat Prices (Based on Registration Date), From Mar 2012 to Dec 2014.csv",12387,2012-08-01,DUPLICATE_LOWER_PRICE,73,6,73 years 06 months,2026-07-18
2012-08,SENGKANG,4 ROOM,275A,COMPASSVALE LINK,07 TO 09,90.0,Premium Apartment,2009,,583000.0,"Resale Flat Prices (Based on Registration Date), From Mar 2012 to Dec 2014.csv",12492,2012-08-01,DUPLICATE_LOWER_PRICE,81,6,81 years 06 months,2026-07-18
2012-08,SENGKANG,4 ROOM,275A,COMPASSVALE LINK,10 TO 12,90.0,Premium Apartment,2009,,587888.0,"Resale Flat Prices (Based on Registration Date), From Mar 2012 to Dec 2014.csv",12496,2012-08-01,DUPLICATE_LOWER_PRICE,81,6,81 years 06 months,2026-07-18
2012-08,SENGKANG,4 ROOM,275A,COMPASSVALE LINK,13 TO 15,90.0,Premium Apartment,2009,,580000.0,"Resale Flat Prices (Based on Registration Date), From Mar 2012 to Dec 2014.csv",12490,2012-08-01,DUPLICATE_LOWER_PRICE,81,6,81 years 06 months,2026-07-18
2012-08,SENGKANG,5 ROOM,258D,COMPASSVALE RD,04 TO 06,110.0,Improved,2001,,547000.0,"Resale Flat Prices (Based on Registration Date), From Mar 2012 to Dec 2014.csv",12466,2012-08-01,DUPLICATE_LOWER_PRICE,73,6,73 years 06 months,2026-07-18
2012-08,SENGKANG,5 ROOM,313B,ANCHORVALE RD,04 TO 06,110.0,Premium Apartment,2003,,535000.0,"Resale Flat Prices (Based on Registration Date), From Mar 2012 to Dec 2014.csv",12455,2012-08-01,DUPLICATE_LOWER_PRICE,75,6,75 years 06 months,2026-07-18
2012-08,SENGKANG,5 ROOM,314B,ANCHORVALE LINK,13 TO 15,110.0,Premium Apartment,2003,,561888.0,"Resale Flat Prices (Based on Registration Date), From Mar 2012 to Dec 2014.csv",12481,2012-08-01,DUPLICATE_LOWER_PRICE,75,6,75 years 06 months,2026-07-18
2012-08,SENGKANG,5 ROOM,404B,FERNVALE LANE,01 TO 03,114.0,Premium Apartment,2004,,505000.0,"Resale Flat Prices (Based on Registration Date), From Mar 2012 to Dec 2014.csv",12437,2012-08-01,DUPLICATE_LOWER_PRICE,76,6,76 years 06 months,2026-07-18
2012-08,TAMPINES,3 ROOM,817,TAMPINES ST 81,04 TO 06,73.0,Model A,1984,,360000.0,"Resale Flat Prices (Based on Registration Date), From Mar 2012 to Dec 2014.csv",12557,2012-08-01,DUPLICATE_LOWER_PRICE,56,6,56 years 06 months,2026-07-18
2012-08,WOODLANDS,3 ROOM,206,MARSILING DR,10 TO 12,68.0,New Generation,1981,,309500.0,"Resale Flat Prices (Based on Registration Date), From Mar 2012 to Dec 2014.csv",12770,2012-08-01,DUPLICATE_LOWER_PRICE,53,6,53 years 06 months,2026-07-18
2012-08,WOODLANDS,4 ROOM,437,WOODLANDS ST 41,04 TO 06,84.0,Simplified,1996,,340000.0,"Resale Flat Prices (Based on Registration Date), From Mar 2012 to Dec 2014.csv",12783,2012-08-01,DUPLICATE_LOWER_PRICE,68,6,68 years 06 months,2026-07-18
2012-08,WOODLANDS,5 ROOM,744,WOODLANDS CIRCLE,10 TO 12,121.0,Improved,1998,,462000.0,"Resale Flat Prices (Based on Registration Date), From Mar 2012 to Dec 2014.csv",12890,2012-08-01,DUPLICATE_LOWER_PRICE,70,6,70 years 06 months,2026-07-18
2012-08,YISHUN,3 ROOM,107,YISHUN RING RD,04 TO 06,67.0,New Generation,1982,,305000.0,"Resale Flat Prices (Based on Registration Date), From Mar 2012 to Dec 2014.csv",12949,2012-08-01,DUPLICATE_LOWER_PRICE,54,6,54 years 06 months,2026-07-18
2012-08,YISHUN,3 ROOM,264,YISHUN ST 22,04 TO 06,64.0,Simplified,1986,,274000.0,"Resale Flat Prices (Based on Registration Date), From Mar 2012 to Dec 2014.csv",12945,2012-08-01,DUPLICATE_LOWER_PRICE,58,6,58 years 06 months,2026-07-18
2012-08,YISHUN,3 ROOM,354,YISHUN RING RD,10 TO 12,74.0,Model A,1989,,320000.0,"Resale Flat Prices (Based on Registration Date), From Mar 2012 to Dec 2014.csv",12964,2012-08-01,DUPLICATE_LOWER_PRICE,61,6,61 years 06 months,2026-07-18
2012-09,ANG MO KIO,3 ROOM,172,ANG MO KIO AVE 4,04 TO 06,60.0,Improved,1986,,298000.0,"Resale Flat Prices (Based on Registration Date), From Mar 2012 to Dec 2014.csv",13088,2012-09-01,DUPLICATE_LOWER_PRICE,58,6,58 years 06 months,2026-07-18
2012-09,ANG MO KIO,3 ROOM,212,ANG MO KIO AVE 3,04 TO 06,67.0,New Generation,1977,,343000.0,"Resale Flat Prices (Based on Registration Date), From Mar 2012 to Dec 2014.csv",13100,2012-09-01,DUPLICATE_LOWER_PRICE,49,6,49 years 06 months,2026-07-18
2012-09,ANG MO KIO,3 ROOM,346,ANG MO KIO AVE 3,10 TO 12,73.0,New Generation,1978,,428000.0,"Resale Flat Prices (Based on Registration Date), From Mar 2012 to Dec 2014.csv",13153,2012-09-01,DUPLICATE_LOWER_PRICE,50,6,50 years 06 months,2026-07-18
2012-09,BEDOK,5 ROOM,652,JLN TENAGA,01 TO 03,128.0,Improved,1996,,550000.0,"Resale Flat Prices (Based on Registration Date), From Mar 2012 to Dec 2014.csv",13277,2012-09-01,DUPLICATE_LOWER_PRICE,68,6,68 years 06 months,2026-07-18
2012-09,BUKIT BATOK,5 ROOM,319,BT BATOK ST 33,01 TO 03,122.0,Improved,1986,,450000.0,"Resale Flat Prices (Based on Registration Date), From Mar 2012 to Dec 2014.csv",13382,2012-09-01,DUPLICATE_LOWER_PRICE,58,6,58 years 06 months,2026-07-18
2012-09,BUKIT MERAH,1 ROOM,7,TELOK BLANGAH CRES,01 TO 03,31.0,Improved,1975,,238000.0,"Resale Flat Prices (Based on Registration Date), From Mar 2012 to Dec 2014.csv",13414,2012-09-01,DUPLICATE_LOWER_PRICE,47,6,47 years 06 months,2026-07-18
2012-09,BUKIT MERAH,1 ROOM,7,TELOK BLANGAH CRES,01 TO 03,31.0,Improved,1975,,215500.0,"Resale Flat Prices (Based on Registration Date), From Mar 2012 to Dec 2014.csv",13412,2012-09-01,DUPLICATE_LOWER_PRICE,47,6,47 years 06 months,2026-07-18
2012-09,BUKIT MERAH,3 ROOM,42,TELOK BLANGAH RISE,04 TO 06,59.0,Improved,1976,,321000.0,"Resale Flat Prices (Based on Registration Date), From Mar 2012 to Dec 2014.csv",13420,2012-09-01,DUPLICATE_LOWER_PRICE,48,6,48 years 06 months,2026-07-18
2012-09,BUKIT PANJANG,4 ROOM,526,JELAPANG RD,04 TO 06,102.0,Model A,1999,,431000.0,"Resale Flat Prices (Based on Registration Date), From Mar 2012 to Dec 2014.csv",13498,2012-09-01,DUPLICATE_LOWER_PRICE,71,6,71 years 06 months,2026-07-18
2012-09,CHOA CHU KANG,4 ROOM,151,JLN TECK WHYE,04 TO 06,100.0,Model A,1998,,412000.0,"Resale Flat Prices (Based on Registration Date), From Mar 2012 to Dec 2014.csv",13552,2012-09-01,DUPLICATE_LOWER_PRICE,70,6,70 years 06 months,2026-07-18
2012-09,CHOA CHU KANG,5 ROOM,633,CHOA CHU KANG NTH 6,13 TO 15,127.0,Premium Apartment,1998,,598000.0,"Resale Flat Prices (Based on Registration Date), From Mar 2012 to Dec 2014.csv",13617,2012-09-01,DUPLICATE_LOWER_PRICE,70,6,70 years 06 months,2026-07-18
2012-09,GEYLANG,2 ROOM,40,CIRCUIT RD,01 TO 03,45.0,Standard,1971,,255000.0,"Resale Flat Prices (Based on Registration Date), From Mar 2012 to Dec 2014.csv",13658,2012-09-01,DUPLICATE_LOWER_PRICE,43,6,43 years 06 months,2026-07-18
2012-09,JURONG EAST,3 ROOM,102,JURONG EAST ST 13,01 TO 03,68.0,New Generation,1982,,345000.0,"Resale Flat Prices (Based on Registration Date), From Mar 2012 to Dec 2014.csv",13792,2012-09-01,DUPLICATE_LOWER_PRICE,54,6,54 years 06 months,2026-07-18
2012-09,JURONG WEST,3 ROOM,495,JURONG WEST ST 41,04 TO 06,64.0,Simplified,1986,,295000.0,"Resale Flat Prices (Based on Registration Date), From Mar 2012 to Dec 2014.csv",13829,2012-09-01,DUPLICATE_LOWER_PRICE,58,6,58 years 06 months,2026-07-18
2012-09,JURONG WEST,5 ROOM,660A,JURONG WEST ST 64,01 TO 03,110.0,Improved,2001,,510000.0,"Resale Flat Prices (Based on Registration Date), From Mar 2012 to Dec 2014.csv",13921,2012-09-01,DUPLICATE_LOWER_PRICE,73,6,73 years 06 months,2026-07-18
2012-09,PASIR RIS,5 ROOM,613,ELIAS RD,04 TO 06,134.0,Model A,1996,,502000.0,"Resale Flat Prices (Based on Registration Date), From Mar 2012 to Dec 2014.csv",14044,2012-09-01,DUPLICATE_LOWER_PRICE,68,6,68 years 06 months,2026-07-18
2012-09,PUNGGOL,5 ROOM,172B,EDGEDALE PLAINS,04 TO 06,110.0,Improved,2004,,517000.0,"Resale Flat Prices (Based on Registration Date), From Mar 2012 to Dec 2014.csv",14103,2012-09-01,DUPLICATE_LOWER_PRICE,76,6,76 years 06 months,2026-07-18
2012-09,TOA PAYOH,4 ROOM,79C,TOA PAYOH CTRL,13 TO 15,91.0,Model A,2009,,725000.0,"Resale Flat Prices (Based on Registration Date), From Mar 2012 to Dec 2014.csv",14572,2012-09-01,DUPLICATE_LOWER_PRICE,81,6,81 years 06 months,2026-07-18
2012-09,WOODLANDS,4 ROOM,614,WOODLANDS AVE 4,10 TO 12,102.0,Model A,1998,,410000.0,"Resale Flat Prices (Based on Registration Date), From Mar 2012 to Dec 2014.csv",14629,2012-09-01,DUPLICATE_LOWER_PRICE,70,6,70 years 06 months,2026-07-18
2012-09,WOODLANDS,4 ROOM,619,WOODLANDS DR 52,04 TO 06,91.0,Model A2,1998,,375000.0,"Resale Flat Prices (Based on Registration Date), From Mar 2012 to Dec 2014.csv",14607,2012-09-01,DUPLICATE_LOWER_PRICE,70,6,70 years 06 months,2026-07-18
2012-09,WOODLANDS,5 ROOM,673,WOODLANDS DR 71,04 TO 06,110.0,Improved,2000,,470000.0,"Resale Flat Prices (Based on Registration Date), From Mar 2012 to Dec 2014.csv",14692,2012-09-01,DUPLICATE_LOWER_PRICE,72,6,72 years 06 months,2026-07-18
2012-09,YISHUN,3 ROOM,171,YISHUN AVE 7,04 TO 06,64.0,Simplified,1988,,295000.0,"Resale Flat Prices (Based on Registration Date), From Mar 2012 to Dec 2014.csv",14738,2012-09-01,DUPLICATE_LOWER_PRICE,60,6,60 years 06 months,2026-07-18
2012-09,YISHUN,3 ROOM,284,YISHUN AVE 6,04 TO 06,74.0,Model A,1987,,305000.0,"Resale Flat Prices (Based on Registration Date), From Mar 2012 to Dec 2014.csv",14741,2012-09-01,DUPLICATE_LOWER_PRICE,59,6,59 years 06 months,2026-07-18
2012-09,YISHUN,3 ROOM,710,YISHUN AVE 5,10 TO 12,68.0,New Generation,1984,,345000.0,"Resale Flat Prices (Based on Registration Date), From Mar 2012 to Dec 2014.csv",14771,2012-09-01,DUPLICATE_LOWER_PRICE,56,6,56 years 06 months,2026-07-18
2012-10,ANG MO KIO,4 ROOM,177,ANG MO KIO AVE 4,07 TO 09,91.0,New Generation,1981,,443000.0,"Resale Flat Prices (Based on Registration Date), From Mar 2012 to Dec 2014.csv",14899,2012-10-01,DUPLICATE_LOWER_PRICE,53,6,53 years 06 months,2026-07-18
2012-10,BEDOK,3 ROOM,29,NEW UPP CHANGI RD,10 TO 12,65.0,Improved,1977,,371000.0,"Resale Flat Prices (Based on Registration Date), From Mar 2012 to Dec 2014.csv",14977,2012-10-01,DUPLICATE_LOWER_PRICE,49,6,49 years 06 months,2026-07-18
2012-10,BEDOK,3 ROOM,37,CHAI CHEE AVE,04 TO 06,66.0,Improved,1983,,345000.0,"Resale Flat Prices (Based on Registration Date), From Mar 2012 to Dec 2014.csv",14954,2012-10-01,DUPLICATE_LOWER_PRICE,55,6,55 years 06 months,2026-07-18
2012-10,BEDOK,3 ROOM,502,BEDOK NTH ST 3,07 TO 09,59.0,Improved,1978,,317000.0,"Resale Flat Prices (Based on Registration Date), From Mar 2012 to Dec 2014.csv",14931,2012-10-01,DUPLICATE_LOWER_PRICE,50,6,50 years 06 months,2026-07-18
2012-10,BEDOK,3 ROOM,510,BEDOK NTH ST 3,04 TO 06,67.0,New Generation,1979,,333000.0,"Resale Flat Prices (Based on Registration Date), From Mar 2012 to Dec 2014.csv",14941,2012-10-01,DUPLICATE_LOWER_PRICE,51,6,51 years 06 months,2026-07-18
2012-10,BEDOK,3 ROOM,529,BEDOK NTH ST 3,10 TO 12,68.0,New Generation,1979,,356000.0,"Resale Flat Prices (Based on Registration Date), From Mar 2012 to Dec 2014.csv",14965,2012-10-01,DUPLICATE_LOWER_PRICE,51,6,51 years 06 months,2026-07-18
2012-10,BEDOK,3 ROOM,709,BEDOK RESERVOIR RD,01 TO 03,68.0,New Generation,1981,,325000.0,"Resale Flat Prices (Based on Registration Date), From Mar 2012 to Dec 2014.csv",14936,2012-10-01,DUPLICATE_LOWER_PRICE,53,6,53 years 06 months,2026-07-18
2012-10,BEDOK,4 ROOM,103,BEDOK RESERVOIR RD,10 TO 12,91.0,New Generation,1985,,430000.0,"Resale Flat Prices (Based on Registration Date), From Mar 2012 to Dec 2014.csv",15006,2012-10-01,DUPLICATE_LOWER_PRICE,57,6,57 years 06 months,2026-07-18
2012-10,BISHAN,3 ROOM,313,SHUNFU RD,07 TO 09,67.0,New Generation,1985,,422000.0,"Resale Flat Prices (Based on Registration Date), From Mar 2012 to Dec 2014.csv",15059,2012-10-01,DUPLICATE_LOWER_PRICE,57,6,57 years 06 months,2026-07-18
2012-10,BUKIT BATOK,3 ROOM,178,BT BATOK WEST AVE 8,07 TO 09,73.0,Model A,1984,,340000.0,"Resale Flat Prices (Based on Registration Date), From Mar 2012 to Dec 2014.csv",15124,2012-10-01,DUPLICATE_LOWER_PRICE,56,6,56 years 06 months,2026-07-18
2012-10,BUKIT BATOK,3 ROOM,283,BT BATOK EAST AVE 3,07 TO 09,64.0,Simplified,1988,,305000.0,"Resale Flat Prices (Based on Registration Date), From Mar 2012 to Dec 2014.csv",15096,2012-10-01,DUPLICATE_LOWER_PRICE,60,6,60 years 06 months,2026-07-18
2012-10,BUKIT BATOK,EXECUTIVE,142,BT BATOK ST 11,04 TO 06,150.0,Maisonette,1984,,650000.0,"Resale Flat Prices (Based on Registration Date), From Mar 2012 to Dec 2014.csv",15180,2012-10-01,DUPLICATE_LOWER_PRICE,56,6,56 years 06 months,2026-07-18
2012-10,BUKIT BATOK,EXECUTIVE,288A,BT BATOK ST 25,01 TO 03,144.0,Apartment,1997,,686000.0,"Resale Flat Prices (Based on Registration Date), From Mar 2012 to Dec 2014.csv",15185,2012-10-01,DUPLICATE_LOWER_PRICE,69,6,69 years 06 months,2026-07-18
2012-10,GEYLANG,3 ROOM,65,CIRCUIT RD,07 TO 09,59.0,Standard,1967,,312000.0,"Resale Flat Prices (Based on Registration Date), From Mar 2012 to Dec 2014.csv",15476,2012-10-01,DUPLICATE_LOWER_PRICE,39,6,39 years 06 months,2026-07-18
2012-10,HOUGANG,3 ROOM,242,HOUGANG ST 22,10 TO 12,67.0,New Generation,1984,,339000.0,"Resale Flat Prices (Based on Registration Date), From Mar 2012 to Dec 2014.csv",15522,2012-10-01,DUPLICATE_LOWER_PRICE,56,6,56 years 06 months,2026-07-18
2012-10,JURONG EAST,3 ROOM,110,JURONG EAST ST 13,07 TO 09,68.0,New Generation,1982,,322000.0,"Resale Flat Prices (Based on Registration Date), From Mar 2012 to Dec 2014.csv",15630,2012-10-01,DUPLICATE_LOWER_PRICE,54,6,54 years 06 months,2026-07-18
2012-10,JURONG WEST,3 ROOM,215,BOON LAY PL,07 TO 09,66.0,Improved,1974,,305000.0,"Resale Flat Prices (Based on Registration Date), From Mar 2012 to Dec 2014.csv",15671,2012-10-01,DUPLICATE_LOWER_PRICE,46,6,46 years 06 months,2026-07-18
2012-10,JURONG WEST,5 ROOM,654C,JURONG WEST ST 61,13 TO 15,110.0,Improved,2002,,537000.0,"Resale Flat Prices (Based on Registration Date), From Mar 2012 to Dec 2014.csv",15787,2012-10-01,DUPLICATE_LOWER_PRICE,74,6,74 years 06 months,2026-07-18
2012-10,JURONG WEST,EXECUTIVE,274B,JURONG WEST ST 25,07 TO 09,126.0,Apartment,2002,,514000.0,"Resale Flat Prices (Based on Registration Date), From Mar 2012 to Dec 2014.csv",15775,2012-10-01,DUPLICATE_LOWER_PRICE,74,6,74 years 06 months,2026-07-18
2012-10,KALLANG/WHAMPOA,3 ROOM,82,WHAMPOA DR,04 TO 06,66.0,Improved,1974,,331000.0,"Resale Flat Prices (Based on Registration Date), From Mar 2012 to Dec 2014.csv",15820,2012-10-01,DUPLICATE_LOWER_PRICE,46,6,46 years 06 months,2026-07-18
2012-10,PASIR RIS,4 ROOM,559,PASIR RIS ST 51,01 TO 03,104.0,Model A,1993,,424500.0,"Resale Flat Prices (Based on Registration Date), From Mar 2012 to Dec 2014.csv",15880,2012-10-01,DUPLICATE_LOWER_PRICE,65,6,65 years 06 months,2026-07-18
2012-10,PUNGGOL,EXECUTIVE,116,EDGEFIELD PLAINS,04 TO 06,130.0,Premium Apartment,2003,,599000.0,"Resale Flat Prices (Based on Registration Date), From Mar 2012 to Dec 2014.csv",16019,2012-10-01,DUPLICATE_LOWER_PRICE,75,6,75 years 06 months,2026-07-18
2012-10,QUEENSTOWN,3 ROOM,5,GHIM MOH RD,10 TO 12,65.0,Improved,1976,,417000.0,"Resale Flat Prices (Based on Registration Date), From Mar 2012 to Dec 2014.csv",16058,2012-10-01,DUPLICATE_LOWER_PRICE,48,6,48 years 06 months,2026-07-18
2012-10,QUEENSTOWN,3 ROOM,84,C'WEALTH CL,04 TO 06,58.0,Standard,1967,,350000.0,"Resale Flat Prices (Based on Registration Date), From Mar 2012 to Dec 2014.csv",16049,2012-10-01,DUPLICATE_LOWER_PRICE,39,6,39 years 06 months,2026-07-18
2012-10,SEMBAWANG,5 ROOM,421,CANBERRA RD,01 TO 03,110.0,Improved,2001,,457000.0,"Resale Flat Prices (Based on Registration Date), From Mar 2012 to Dec 2014.csv",16106,2012-10-01,DUPLICATE_LOWER_PRICE,73,6,73 years 06 months,2026-07-18
2012-10,SENGKANG,4 ROOM,303C,ANCHORVALE LINK,13 TO 15,85.0,Model A2,2001,,461000.0,"Resale Flat Prices (Based on Registration Date), From Mar 2012 to Dec 2014.csv",16165,2012-10-01,DUPLICATE_LOWER_PRICE,73,6,73 years 06 months,2026-07-18
2012-10,SENGKANG,5 ROOM,251,COMPASSVALE ST,04 TO 06,116.0,Improved,2000,,502000.0,"Resale Flat Prices (Based on Registration Date), From Mar 2012 to Dec 2014.csv",16187,2012-10-01,DUPLICATE_LOWER_PRICE,72,6,72 years 06 months,2026-07-18
2012-10,SENGKANG,5 ROOM,298A,COMPASSVALE ST,04 TO 06,114.0,Premium Apartment,2001,,490000.0,"Resale Flat Prices (Based on Registration Date), From Mar 2012 to Dec 2014.csv",16178,2012-10-01,DUPLICATE_LOWER_PRICE,73,6,73 years 06 months,2026-07-18
2012-10,SENGKANG,EXECUTIVE,310A,ANCHORVALE RD,13 TO 15,126.0,Premium Apartment,2003,,623000.0,"Resale Flat Prices (Based on Registration Date), From Mar 2012 to Dec 2014.csv",16250,2012-10-01,DUPLICATE_LOWER_PRICE,75,6,75 years 06 months,2026-07-18
2012-10,SERANGOON,3 ROOM,207,SERANGOON CTRL,04 TO 06,64.0,Simplified,1986,,380500.0,"Resale Flat Prices (Based on Registration Date), From Mar 2012 to Dec 2014.csv",16274,2012-10-01,DUPLICATE_LOWER_PRICE,58,6,58 years 06 months,2026-07-18
2012-10,SERANGOON,3 ROOM,254,SERANGOON CTRL DR,04 TO 06,64.0,Simplified,1988,,382000.0,"Resale Flat Prices (Based on Registration Date), From Mar 2012 to Dec 2014.csv",16275,2012-10-01,DUPLICATE_LOWER_PRICE,60,6,60 years 06 months,2026-07-18
2012-10,TAMPINES,3 ROOM,818,TAMPINES ST 81,07 TO 09,73.0,Model A,1984,,375000.0,"Resale Flat Prices (Based on Registration Date), From Mar 2012 to Dec 2014.csv",16319,2012-10-01,DUPLICATE_LOWER_PRICE,56,6,56 years 06 months,2026-07-18
2012-10,TOA PAYOH,3 ROOM,157,LOR 1 TOA PAYOH,04 TO 06,67.0,Improved,1971,,393000.0,"Resale Flat Prices (Based on Registration Date), From Mar 2012 to Dec 2014.csv",16454,2012-10-01,DUPLICATE_LOWER_PRICE,43,6,43 years 06 months,2026-07-18
2012-10,WOODLANDS,3 ROOM,1,MARSILING DR,01 TO 03,65.0,Improved,1974,,294000.0,"Resale Flat Prices (Based on Registration Date), From Mar 2012 to Dec 2014.csv",16490,2012-10-01,DUPLICATE_LOWER_PRICE,46,6,46 years 06 months,2026-07-18
2012-10,WOODLANDS,4 ROOM,368,WOODLANDS AVE 1,04 TO 06,105.0,Model A,1997,,455000.0,"Resale Flat Prices (Based on Registration Date), From Mar 2012 to Dec 2014.csv",16598,2012-10-01,DUPLICATE_LOWER_PRICE,69,6,69 years 06 months,2026-07-18
2012-10,WOODLANDS,4 ROOM,787D,WOODLANDS CRES,07 TO 09,100.0,Model A,1997,,415000.0,"Resale Flat Prices (Based on Registration Date), From Mar 2012 to Dec 2014.csv",16547,2012-10-01,DUPLICATE_LOWER_PRICE,69,6,69 years 06 months,2026-07-18
2012-10,WOODLANDS,4 ROOM,842,WOODLANDS ST 82,04 TO 06,104.0,Model A,1994,,408000.0,"Resale Flat Prices (Based on Registration Date), From Mar 2012 to Dec 2014.csv",16541,2012-10-01,DUPLICATE_LOWER_PRICE,66,6,66 years 06 months,2026-07-18
2012-10,WOODLANDS,5 ROOM,541,WOODLANDS DR 16,01 TO 03,121.0,Improved,2000,,435000.0,"Resale Flat Prices (Based on Registration Date), From Mar 2012 to Dec 2014.csv",16573,2012-10-01,DUPLICATE_LOWER_PRICE,72,6,72 years 06 months,2026-07-18
2012-10,YISHUN,3 ROOM,704,YISHUN AVE 5,01 TO 03,68.0,New Generation,1984,,325000.0,"Resale Flat Prices (Based on Registration Date), From Mar 2012 to Dec 2014.csv",16674,2012-10-01,DUPLICATE_LOWER_PRICE,56,6,56 years 06 months,2026-07-18
2012-10,YISHUN,3 ROOM,712,YISHUN AVE 5,07 TO 09,68.0,New Generation,1984,,352000.0,"Resale Flat Prices (Based on Registration Date), From Mar 2012 to Dec 2014.csv",16699,2012-10-01,DUPLICATE_LOWER_PRICE,56,6,56 years 06 months,2026-07-18
2012-10,YISHUN,EXECUTIVE,877,YISHUN ST 81,01 TO 03,142.0,Apartment,1987,,607000.0,"Resale Flat Prices (Based on Registration Date), From Mar 2012 to Dec 2014.csv",16782,2012-10-01,DUPLICATE_LOWER_PRICE,59,6,59 years 06 months,2026-07-18
2012-11,ANG MO KIO,3 ROOM,443,ANG MO KIO AVE 10,10 TO 12,67.0,New Generation,1979,,367000.0,"Resale Flat Prices (Based on Registration Date), From Mar 2012 to Dec 2014.csv",16813,2012-11-01,DUPLICATE_LOWER_PRICE,51,6,51 years 06 months,2026-07-18
2012-11,BEDOK,3 ROOM,550,BEDOK NTH AVE 1,01 TO 03,68.0,New Generation,1980,,325000.0,"Resale Flat Prices (Based on Registration Date), From Mar 2012 to Dec 2014.csv",16869,2012-11-01,DUPLICATE_LOWER_PRICE,52,6,52 years 06 months,2026-07-18
2012-11,BUKIT BATOK,5 ROOM,110,BT BATOK WEST AVE 6,19 TO 21,132.0,Model A,1985,,690000.0,"Resale Flat Prices (Based on Registration Date), From Mar 2012 to Dec 2014.csv",17076,2012-11-01,DUPLICATE_LOWER_PRICE,57,6,57 years 06 months,2026-07-18
2012-11,BUKIT PANJANG,3 ROOM,116,PENDING RD,04 TO 06,73.0,Model A,1987,,338000.0,"Resale Flat Prices (Based on Registration Date), From Mar 2012 to Dec 2014.csv",17142,2012-11-01,DUPLICATE_LOWER_PRICE,59,6,59 years 06 months,2026-07-18
2012-11,BUKIT PANJANG,4 ROOM,226,PENDING RD,07 TO 09,84.0,Simplified,1987,,366000.0,"Resale Flat Prices (Based on Registration Date), From Mar 2012 to Dec 2014.csv",17149,2012-11-01,DUPLICATE_LOWER_PRICE,59,6,59 years 06 months,2026-07-18
2012-11,HOUGANG,3 ROOM,321,HOUGANG AVE 5,07 TO 09,67.0,New Generation,1983,,344000.0,"Resale Flat Prices (Based on Registration Date), From Mar 2012 to Dec 2014.csv",17392,2012-11-01,DUPLICATE_LOWER_PRICE,55,6,55 years 06 months,2026-07-18
2012-11,HOUGANG,EXECUTIVE,960,HOUGANG AVE 9,04 TO 06,137.0,Apartment,1999,,585000.0,"Resale Flat Prices (Based on Registration Date), From Mar 2012 to Dec 2014.csv",17455,2012-11-01,DUPLICATE_LOWER_PRICE,71,6,71 years 06 months,2026-07-18
2012-11,JURONG WEST,4 ROOM,725,JURONG WEST AVE 5,04 TO 06,104.0,Model A,1989,,407000.0,"Resale Flat Prices (Based on Registration Date), From Mar 2012 to Dec 2014.csv",17558,2012-11-01,DUPLICATE_LOWER_PRICE,61,6,61 years 06 months,2026-07-18
2012-11,JURONG WEST,5 ROOM,660D,JURONG WEST ST 64,07 TO 09,110.0,Improved,2001,,515000.0,"Resale Flat Prices (Based on Registration Date), From Mar 2012 to Dec 2014.csv",17630,2012-11-01,DUPLICATE_LOWER_PRICE,73,6,73 years 06 months,2026-07-18
2012-11,JURONG WEST,5 ROOM,661B,JURONG WEST ST 64,10 TO 12,110.0,Improved,2001,,532000.0,"Resale Flat Prices (Based on Registration Date), From Mar 2012 to Dec 2014.csv",17640,2012-11-01,DUPLICATE_LOWER_PRICE,73,6,73 years 06 months,2026-07-18
2012-11,KALLANG/WHAMPOA,4 ROOM,112,MCNAIR RD,01 TO 03,104.0,Model A,1987,,542500.0,"Resale Flat Prices (Based on Registration Date), From Mar 2012 to Dec 2014.csv",17702,2012-11-01,DUPLICATE_LOWER_PRICE,59,6,59 years 06 months,2026-07-18
2012-11,PASIR RIS,5 ROOM,725,PASIR RIS ST 72,07 TO 09,127.0,Improved,1996,,530000.0,"Resale Flat Prices (Based on Registration Date), From Mar 2012 to Dec 2014.csv",17769,2012-11-01,DUPLICATE_LOWER_PRICE,68,6,68 years 06 months,2026-07-18
2012-11,PUNGGOL,4 ROOM,167B,PUNGGOL EAST,13 TO 15,92.0,Premium Apartment,2009,,538000.0,"Resale Flat Prices (Based on Registration Date), From Mar 2012 to Dec 2014.csv",17815,2012-11-01,DUPLICATE_LOWER_PRICE,81,6,81 years 06 months,2026-07-18
